id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
240555,Somalia,SOM,8.652145,48.953385,"[8.652145, 48.953385]",Recommended figure,Disaster,total,6,2026-01-24,2026-01-18,2026-01-24,2026,40338,Somalia: Drought - Nugaal - 01/01/2026,,,2026-01-01,2026-01-31,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Burtinle, Nugaal, Somalia; Qardho, Nugaal, Somalia","7.8022, 48.39912; 9.50209, 49.50765",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2026-02-20T16:19:39.154695Z,"Somalia: 6 displacements, 18 January - 24 January. According to Protection and Return Monitoring Network (PRMN), a total of 6 people were displaced in Somalia , arriving in the week of 18 January 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240556,Somalia,SOM,7.482305,48.70007,"[7.482305, 48.70007]",Recommended figure,Disaster,total,18,2026-01-24,2026-01-18,2026-01-24,2026,40337,Somalia: Drought - Mudug - 01/01/2026,,,2026-01-01,2026-01-31,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Burtinle, Nugaal, Somalia; Jariiban, Mudug, Somalia","7.8022, 48.39912; 7.16241, 49.00102",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2026-02-20T16:19:39.201740Z,"Somalia: 18 displacements, 18 January - 24 January. According to Protection and Return Monitoring Network (PRMN), a total of 18 people were displaced in Somalia , arriving in the week of 18 January 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240557,Somalia,SOM,3.80315,42.54417,"[3.80315, 42.54417]",Recommended figure,Disaster,total,75,2026-01-24,2026-01-18,2026-01-24,2026,40327,Somalia: Drought - Gedo - 01/01/2026,,,2026-01-01,2026-01-31,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Luuq, Gedo, Somalia","3.80315, 42.54417",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2026-02-20T16:19:39.246832Z,"Somalia: 75 displacements, 18 January - 24 January. According to Protection and Return Monitoring Network (PRMN), a total of 75 people were displaced in Somalia , arriving in the week of 18 January 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240559,Somalia,SOM,1.0193,41.536345,"[1.0193, 41.536345]",Recommended figure,Disaster,total,200,2026-01-24,2026-01-18,2026-01-24,2026,40330,Somalia: Drought - Middle Juba - 01/01/2026,,,2026-01-01,2026-01-31,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Dhobley, Lower Juba, Somalia; Saakow, Middle Juba, Somalia","0.40997, 41.00995; 1.62863, 42.06274",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2026-02-20T16:19:39.339485Z,"Somalia: 200 displacements, 18 January - 24 January. According to Protection and Return Monitoring Network (PRMN), a total of 200 people were displaced in Somalia , arriving in the week of 18 January 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240560,Somalia,SOM,10.61616,47.36795,"[10.61616, 47.36795]",Recommended figure,Disaster,total,60,2026-01-24,2026-01-18,2026-01-24,2026,40331,Somalia: Drought - Sanaag - 01/01/2026,,,2026-01-01,2026-01-31,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Ceerigaabo, Sanaag, Somalia","10.61616, 47.36795",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2026-02-20T16:19:39.385754Z,"Somalia: 60 displacements, 18 January - 24 January. According to Protection and Return Monitoring Network (PRMN), a total of 60 people were displaced in Somalia , arriving in the week of 18 January 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240561,Somalia,SOM,0.617785,42.421375,"[0.617785, 42.421375]",Recommended figure,Conflict,total,24,2026-01-24,2026-01-18,2026-01-24,2026,40323,Somalia: Unclear/Unknown - Middle Juba - 01/01/2026,,,2026-01-01,2026-01-31,,,,,,Protection and Return Monitoring Network (PRMN),,"Afmadow, Lower Juba, Somalia; Jilib, Middle Juba, Somalia","0.5909, 41.78618; 0.64467, 43.05657",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2026-02-20T16:19:39.434937Z,"Somalia: 24 displacements, 18 January - 24 January. According to Protection and Return Monitoring Network (PRMN), a total of 24 people were displaced in Somalia , arriving in the week of 18 January 2026 due to Conflict. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Conflict
240562,Somalia,SOM,1.109765,41.924459999999996,"[1.109765, 41.924459999999996]",Recommended figure,Disaster,total,23,2026-01-24,2026-01-18,2026-01-24,2026,40330,Somalia: Drought - Middle Juba - 01/01/2026,,,2026-01-01,2026-01-31,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Afmadow, Lower Juba, Somalia; Saakow, Middle Juba, Somalia","0.5909, 41.78618; 1.62863, 42.06274",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2026-02-20T16:19:39.480943Z,"Somalia: 23 displacements, 18 January - 24 January. According to Protection and Return Monitoring Network (PRMN), a total of 23 people were displaced in Somalia , arriving in the week of 18 January 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240563,Somalia,SOM,2.48537,44.00688,"[2.48537, 44.00688]",Recommended figure,Disaster,total,24,2026-01-24,2026-01-18,2026-01-24,2026,40326,Somalia: Drought - Bay - 01/01/2026,,,2026-01-01,2026-01-31,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Buur Hakaba, Bay, Somalia","2.48537, 44.00688",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2026-02-20T16:19:39.528094Z,"Somalia: 24 displacements, 18 January - 24 January. According to Protection and Return Monitoring Network (PRMN), a total of 24 people were displaced in Somalia , arriving in the week of 18 January 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240564,Somalia,SOM,2.40941,42.97458,"[2.40941, 42.97458]",Recommended figure,Disaster,total,374,2026-01-24,2026-01-18,2026-01-24,2026,40326,Somalia: Drought - Bay - 01/01/2026,,,2026-01-01,2026-01-31,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Diinsoor, Bay, Somalia","2.40941, 42.97458",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2026-02-20T16:19:39.596151Z,"Somalia: 374 displacements, 18 January - 24 January. According to Protection and Return Monitoring Network (PRMN), a total of 374 people were displaced in Somalia , arriving in the week of 18 January 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240567,Somalia,SOM,2.48779,45.6592,"[2.48779, 45.6592]",Recommended figure,Disaster,total,25,2026-01-24,2026-01-18,2026-01-24,2026,40336,Somalia: Drought - Middle Shabelle - 01/01/2026,,,2026-01-01,2026-01-31,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Balcad, Middle Shabele, Somalia","2.48779, 45.6592",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2026-02-20T16:19:39.740195Z,"Somalia: 25 displacements, 18 January - 24 January. According to Protection and Return Monitoring Network (PRMN), a total of 25 people were displaced in Somalia , arriving in the week of 18 January 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
